Szkoła;Klasa;Uczeń;Lokalizacja;Typ;Metoda;Liczba_uczniów;Płeć;Obiad;Pre_test;Post_test
ANKYI;6OL;2FHT3;miejska;niepubliczna;standardowa;20;dziewczynka;nie kwalifikuje się;62;72
ANKYI;6OL;3JIVH;miejska;niepubliczna;standardowa;20;dziewczynka;nie kwalifikuje się;66;79
ANKYI;6OL;3XOWE;miejska;niepubliczna;standardowa;20;chłopiec;nie kwalifikuje się;64;76
ANKYI;6OL;556O0;miejska;niepubliczna;standardowa;20;dziewczynka;nie kwalifikuje się;61;77
ANKYI;6OL;74LOE;miejska;niepubliczna;standardowa;20;chłopiec;nie kwalifikuje się;64;76
ANKYI;6OL;7YZO8;miejska;niepubliczna;standardowa;20;dziewczynka;nie kwalifikuje się;66;74
ANKYI;6OL;9KMZD;miejska;niepubliczna;standardowa;20;chłopiec;nie kwalifikuje się;63;75
ANKYI;6OL;9USQK;miejska;niepubliczna;standardowa;20;dziewczynka;nie kwalifikuje się;63;72
ANKYI;6OL;CS5QP;miejska;niepubliczna;standardowa;20;chłopiec;nie kwalifikuje się;64;77
ANKYI;6OL;D6HT8;miejska;niepubliczna;standardowa;20;dziewczynka;nie kwalifikuje się;61;72
ANKYI;6OL;DZMKU;miejska;niepubliczna;standardowa;20;chłopiec;nie kwalifikuje się;61;73
ANKYI;6OL;FH7B9;miejska;niepubliczna;standardowa;20;chłopiec;nie kwalifikuje się;64;74
ANKYI;6OL;JI9VG;miejska;niepubliczna;standardowa;20;chłopiec;nie kwalifikuje się;66;78
ANKYI;6OL;JQM2W;miejska;niepubliczna;standardowa;20;dziewczynka;nie kwalifikuje się;60;71
ANKYI;6OL;MEUC4;miejska;niepubliczna;standardowa;20;dziewczynka;nie kwalifikuje się;64;77
ANKYI;6OL;R4U8H;miejska;niepubliczna;standardowa;20;chłopiec;nie kwalifikuje się;64;73
ANKYI;6OL;TH7KI;miejska;niepubliczna;standardowa;20;chłopiec;nie kwalifikuje się;63;70
ANKYI;6OL;U1FV7;miejska;niepubliczna;standardowa;20;chłopiec;nie kwalifikuje się;67;73
ANKYI;6OL;WC5I6;miejska;niepubliczna;standardowa;20;dziewczynka;nie kwalifikuje się;63;71
ANKYI;6OL;ZBQ4T;miejska;niepubliczna;standardowa;20;chłopiec;nie kwalifikuje się;64;73
ANKYI;ZNS;0CRO6;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;60;68
ANKYI;ZNS;1QMDI;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;60;70
ANKYI;ZNS;3CFUK;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;57;66
ANKYI;ZNS;447O0;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;57;70
ANKYI;ZNS;4IDEM;miejska;niepubliczna;standardowa;21;dziewczynka;kwalifikuje się;56;65
ANKYI;ZNS;5UQNP;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;58;67
ANKYI;ZNS;AV95M;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;60;70
ANKYI;ZNS;BX6I6;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;60;67
ANKYI;ZNS;EYFXR;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;54;63
ANKYI;ZNS;FFC9M;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;60;75
ANKYI;ZNS;GGT4A;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;58;66
ANKYI;ZNS;HRZOJ;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;66;71
ANKYI;ZNS;IFC62;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;60;76
ANKYI;ZNS;LLQI3;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;59;69
ANKYI;ZNS;OCJE3;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;57;69
ANKYI;ZNS;OGW1F;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;60;68
ANKYI;ZNS;Q5QRY;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;61;71
ANKYI;ZNS;TJRIV;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;61;66
ANKYI;ZNS;U24U5;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;59;69
ANKYI;ZNS;VKX2N;miejska;niepubliczna;standardowa;21;dziewczynka;nie kwalifikuje się;62;72
ANKYI;ZNS;ZTROF;miejska;niepubliczna;standardowa;21;chłopiec;nie kwalifikuje się;60;66
CCAAW;2B1;1IALS;podmiejska;niepubliczna;eksperymentalna;18;dziewczynka;nie kwalifikuje się;61;75
CCAAW;2B1;5NDXD;podmiejska;niepubliczna;eksperymentalna;18;chłopiec;kwalifikuje się;58;78
CCAAW;2B1;6DCTV;podmiejska;niepubliczna;eksperymentalna;18;dziewczynka;kwalifikuje się;64;82
CCAAW;2B1;6OB0S;podmiejska;niepubliczna;eksperymentalna;18;chłopiec;kwalifikuje się;58;77
CCAAW;2B1;AITPY;podmiejska;niepubliczna;eksperymentalna;18;chłopiec;nie kwalifikuje się;65;87
CCAAW;2B1;B8B6G;podmiejska;niepubliczna;eksperymentalna;18;chłopiec;nie kwalifikuje się;65;80
CCAAW;2B1;C0UW3;podmiejska;niepubliczna;eksperymentalna;18;dziewczynka;kwalifikuje się;62;75
CCAAW;2B1;CD1MB;podmiejska;niepubliczna;eksperymentalna;18;chłopiec;kwalifikuje się;58;73
CCAAW;2B1;F4ZHY;podmiejska;niepubliczna;eksperymentalna;18;chłopiec;kwalifikuje się;59;74
CCAAW;2B1;GT9F2;podmiejska;niepubliczna;eksperymentalna;18;chłopiec;kwalifikuje się;59;74
CCAAW;2B1;L5T1W;podmiejska;niepubliczna;eksperymentalna;18;chłopiec;kwalifikuje się;63;76
CCAAW;2B1;MVXN3;podmiejska;niepubliczna;eksperymentalna;18;dziewczynka;nie kwalifikuje się;63;78
CCAAW;2B1;N7XOT;podmiejska;niepubliczna;eksperymentalna;18;chłopiec;nie kwalifikuje się;59;77
CCAAW;2B1;NKP72;podmiejska;niepubliczna;eksperymentalna;18;chłopiec;kwalifikuje się;61;77
CCAAW;2B1;QJVAM;podmiejska;niepubliczna;eksperymentalna;18;chłopiec;kwalifikuje się;55;72
CCAAW;2B1;V6ZA8;podmiejska;niepubliczna;eksperymentalna;18;chłopiec;nie kwalifikuje się;66;83
CCAAW;2B1;X4NP9;podmiejska;niepubliczna;eksperymentalna;18;dziewczynka;nie kwalifikuje się;67;81
CCAAW;2B1;YEJFP;podmiejska;niepubliczna;eksperymentalna;18;dziewczynka;nie kwalifikuje się;68;79
CCAAW;EPS;2RA1H;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;nie kwalifikuje się;63;80
CCAAW;EPS;2U37U;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;kwalifikuje się;63;83
CCAAW;EPS;30219;podmiejska;niepubliczna;eksperymentalna;20;chłopiec;nie kwalifikuje się;66;82
CCAAW;EPS;3RJO7;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;nie kwalifikuje się;67;84
CCAAW;EPS;42OS6;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;kwalifikuje się;67;83
CCAAW;EPS;4B72M;podmiejska;niepubliczna;eksperymentalna;20;chłopiec;nie kwalifikuje się;73;85
CCAAW;EPS;7D9JO;podmiejska;niepubliczna;eksperymentalna;20;chłopiec;nie kwalifikuje się;68;87
CCAAW;EPS;7QNXG;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;kwalifikuje się;70;91
CCAAW;EPS;8HMCH;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;kwalifikuje się;74;85
CCAAW;EPS;8W6N8;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;nie kwalifikuje się;64;83
CCAAW;EPS;BVGDA;podmiejska;niepubliczna;eksperymentalna;20;chłopiec;kwalifikuje się;62;78
CCAAW;EPS;CFICH;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;nie kwalifikuje się;76;84
CCAAW;EPS;DTGZA;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;nie kwalifikuje się;73;86
CCAAW;EPS;EEJ6S;podmiejska;niepubliczna;eksperymentalna;20;chłopiec;nie kwalifikuje się;65;87
CCAAW;EPS;JSYRI;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;nie kwalifikuje się;66;79
CCAAW;EPS;KGFXN;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;nie kwalifikuje się;66;84
CCAAW;EPS;KTSGX;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;nie kwalifikuje się;66;82
CCAAW;EPS;SAKZI;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;kwalifikuje się;65;83
CCAAW;EPS;XAHWJ;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;kwalifikuje się;63;78
CCAAW;EPS;XP6HQ;podmiejska;niepubliczna;eksperymentalna;20;dziewczynka;kwalifikuje się;68;84
CCAAW;IQN;0ZAWS;podmiejska;niepubliczna;eksperymentalna;15;dziewczynka;nie kwalifikuje się;65;79
CCAAW;IQN;4CE6S;podmiejska;niepubliczna;eksperymentalna;15;dziewczynka;nie kwalifikuje się;70;83
CCAAW;IQN;DB15U;podmiejska;niepubliczna;eksperymentalna;15;dziewczynka;kwalifikuje się;65;81
CCAAW;IQN;GFIP5;podmiejska;niepubliczna;eksperymentalna;15;dziewczynka;kwalifikuje się;61;74
CCAAW;IQN;GJ8SE;podmiejska;niepubliczna;eksperymentalna;15;chłopiec;kwalifikuje się;63;77
CCAAW;IQN;GYLNC;podmiejska;niepubliczna;eksperymentalna;15;dziewczynka;nie kwalifikuje się;62;82
CCAAW;IQN;H1H52;podmiejska;niepubliczna;eksperymentalna;15;chłopiec;nie kwalifikuje się;69;81
CCAAW;IQN;JPSF7;podmiejska;niepubliczna;eksperymentalna;15;chłopiec;kwalifikuje się;63;75
